Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable,Year_N
25-08-2004,850,1198.7,1198.7,979,987.95,1008.32,17116372,1.73E+15,5206360,0.3042,1
26-08-2004,987.95,992,997,975.3,979,985.65,5055400,4.98E+14,1294899,0.2561,1
27-08-2004,979,982.4,982.4,958.55,962.65,969.94,3830750,3.72E+14,976527,0.2549,1
30-08-2004,962.65,969.9,990,965,986.75,982.65,3058151,3.01E+14,701664,0.2294,1
31-08-2004,986.75,986.5,990,976,988.1,982.18,2649332,2.60E+14,695234,0.2624,1
01-09-2004,988.1,990,995,983.6,987.9,989.68,2491943,2.47E+14,790586,0.3173,1
02-09-2004,987.9,989.9,1004.6,986,993.65,996.96,2669544,2.66E+14,501792,0.188,1
03-09-2004,993.65,1006,1100,990.35,997.85,996.91,1233732,1.23E+14,235508,0.1909,1
06-09-2004,997.85,1039.9,1039.9,992.9,994.85,998.87,1129834,1.13E+14,430184,0.3807,1
07-09-2004,994.85,1035,1035,995,995.6,997.34,721529,7.20E+13,198212,0.2747,1
08-09-2004,995.6,996,1000.8,991.1,993.7,995.29,824248,8.20E+13,220195,0.2671,1
09-09-2004,993.7,997,997.9,978.45,979.95,985.16,993398,9.79E+13,364189,0.3666,1
10-09-2004,979.95,990,990,976,988.8,985.12,801884,7.90E+13,203388,0.2536,1
13-09-2004,988.8,991,1015.5,991,1003.5,1007.31,2613114,2.63E+14,735865,0.2816,1
14-09-2004,1003.5,1005,1018.8,1002.95,1015.65,1012.95,1916934,1.94E+14,493998,0.2577,1
15-09-2004,1015.65,1018,1020,1001.2,1006.1,1009.12,1498536,1.51E+14,483466,0.3226,1
16-09-2004,1006.1,1007,1015,1002.5,1008.45,1009.82,919778,9.29E+13,240651,0.2616,1
17-09-2004,1008.45,1012,1029.9,1010.3,1024.5,1021.09,1828487,1.87E+14,538239,0.2944,1
20-09-2004,1024.5,1032.4,1036.9,1020.15,1022.9,1028.83,1069028,1.10E+14,305251,0.2855,1
21-09-2004,1022.9,1024.85,1048.5,1022,1045.8,1039.54,1737135,1.81E+14,413801,0.2382,1
22-09-2004,1045.8,1048.4,1056,1037.1,1052.05,1047.57,1921448,2.01E+14,443693,0.2309,1
23-09-2004,1052.05,1048,1049,1027,1030.25,1037.8,1977460,2.05E+14,846586,0.4281,1
24-09-2004,1030.25,1029.1,1040,1026,1028.8,1033.94,1010401,1.04E+14,218183,0.2159,1
27-09-2004,1028.8,1027.5,1032.5,1015,1020.75,1022.44,1028689,1.05E+14,299518,0.2912,1
28-09-2004,1020.75,1016,1027.4,1012.5,1015.55,1020.82,792427,8.09E+13,205152,0.2589,1
29-09-2004,1015.55,1019.25,1033,1016.15,1031,1024.61,1467147,1.50E+14,504626,0.344,1
30-09-2004,1031,1035.6,1040.9,1020.65,1027.1,1032.72,1565179,1.62E+14,585075,0.3738,1
01-10-2004,1027.1,1029,1056.45,1026.35,1047.7,1043.58,1371111,1.43E+14,502221,0.3663,1
04-10-2004,1047.7,1057,1081,1054.45,1076.5,1071.89,1891228,2.03E+14,790442,0.418,1
05-10-2004,1076.5,1080.3,1089,1075.5,1080.7,1083.44,1792661,1.94E+14,532812,0.2972,1
06-10-2004,1080.7,1081,1102.8,1075.05,1081.6,1090.08,2208833,2.41E+14,701623,0.3176,1
07-10-2004,1081.6,1083,1100,1083,1097.1,1093.19,1260016,1.38E+14,403582,0.3203,1
08-10-2004,1097.1,1098,1111,1095,1098.05,1103.24,1069865,1.18E+14,308783,0.2886,1
09-10-2004,1098.05,1099.9,1103.85,1094.25,1100.65,1099.79,258539,2.84E+13,89081,0.3446,1
11-10-2004,1100.65,1100,1111.5,1085,1089.3,1099.02,1166507,1.28E+14,459319,0.3938,1
12-10-2004,1089.3,1110,1115,1077.65,1084.45,1093.36,1950064,2.13E+14,520867,0.2671,1
14-10-2004,1084.45,1103,1124,1088.05,1116.2,1107.77,2403248,2.66E+14,677707,0.282,1
15-10-2004,1116.2,1121.7,1141,1117.25,1126,1129.32,2224968,2.51E+14,621885,0.2795,1
18-10-2004,1126,1134,1142,1125.25,1137.25,1135.53,1711668,1.94E+14,705586,0.4122,1
19-10-2004,1137.25,1140.15,1148.7,1136.1,1143.2,1142.22,1470891,1.68E+14,650387,0.4422,1
20-10-2004,1143.2,1144.8,1149.9,1129,1133.25,1141.59,900854,1.03E+14,285336,0.3167,1
21-10-2004,1133.25,1137.25,1139,1122,1125.55,1129.68,801690,9.06E+13,236453,0.2949,1
25-10-2004,1125.55,1125,1127,1110.75,1117.35,1117.27,1173784,1.31E+14,580648,0.4947,1
26-10-2004,1117.35,1115.6,1140.95,1115.6,1137.2,1130.04,866595,9.79E+13,256600,0.2961,1
27-10-2004,1137.2,1142.25,1148,1135.2,1139.9,1142.43,979707,1.12E+14,348753,0.356,1
