Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable
28-08-2006,365,521,569,502,554.25,552,15166163,8.37E+14,3777529,0.2491
29-08-2006,554.25,555,563.9,535.55,539.3,547.59,3929113,2.15E+14,727534,0.1852
30-08-2006,539.3,537,542.9,521.5,528.1,529.55,2034983,1.08E+14,345064,0.1696
31-08-2006,528.1,525,544,515,538.45,532.89,1670990,8.90E+13,286440,0.1714
01-09-2006,538.45,539,549,535.1,541.85,542.46,1176195,6.38E+13,213842,0.1818
04-09-2006,541.85,542,549,452.8,543.95,543.8,749788,4.08E+13,213912,0.2853
05-09-2006,543.95,544,556,538.5,552.7,548.92,956133,5.25E+13,258744,0.2706
06-09-2006,552.7,554.7,562.5,538,541.25,551.38,957611,5.28E+13,202832,0.2118
07-09-2006,541.25,545,545,530,537.3,536.79,351161,1.89E+13,140830,0.401
08-09-2006,537.3,538.8,544.9,531.55,534.8,538.89,269659,1.45E+13,59668,0.2213
11-09-2006,534.8,539.95,545,532.25,535.95,538.13,420466,2.26E+13,182316,0.4336
12-09-2006,535.95,535.95,546.85,534,537.85,539.51,514196,2.77E+13,289134,0.5623
13-09-2006,537.85,541,549,541,544.7,546.14,401947,2.20E+13,247945,0.6169
14-09-2006,544.7,545.2,557.5,545.1,549.85,553.26,534610,2.96E+13,303082,0.5669
15-09-2006,549.85,550.15,554,539,540.2,544.58,209783,1.14E+13,97462,0.4646
18-09-2006,540.2,544,562,544,546.5,550.53,224376,1.24E+13,96526,0.4302
19-09-2006,546.5,548.05,623.85,546.5,584.25,594.73,4793064,2.85E+14,583289,0.1217
20-09-2006,584.25,579.8,613.9,573.25,605.05,601.29,2264328,1.36E+14,202726,0.0895
21-09-2006,605.05,577,627,577,608.95,616.48,1776100,1.09E+14,233080,0.1312
22-09-2006,608.95,625,625,593.25,601.15,603.12,726501,4.38E+13,129352,0.178
25-09-2006,601.15,595.25,611.7,590.05,593.55,602.69,635537,3.83E+13,119407,0.1879
26-09-2006,593.55,599.8,626,594,617.6,616.59,1735875,1.07E+14,244564,0.1409
27-09-2006,617.6,619.5,631.8,616.3,619.45,624.48,1015312,6.34E+13,182281,0.1795
28-09-2006,619.45,624.7,624.7,608.15,613,614.19,302605,1.86E+13,101194,0.3344
29-09-2006,613,615,630,610,618.4,622.2,595376,3.70E+13,106764,0.1793
03-10-2006,618.4,619,635.85,615,619.4,625.94,800656,5.01E+13,197144,0.2462
04-10-2006,619.4,621.6,624,610,613.7,617.28,300674,1.86E+13,69571,0.2314
05-10-2006,613.7,621.2,628,619,624.15,622.65,214316,1.33E+13,65398,0.3051
06-10-2006,624.15,629,639.95,618.15,621.3,631.77,618442,3.91E+13,131411,0.2125
09-10-2006,621.3,618,624.9,610,614.05,617.91,240328,1.49E+13,98162,0.4085
10-10-2006,614.05,620,624.8,610.35,615.85,618.7,210138,1.30E+13,58759,0.2796
11-10-2006,615.85,620,653.8,620,629.95,640.88,1942573,1.24E+14,500494,0.2576
12-10-2006,629.95,634.5,637.1,621,629.7,630.56,721172,4.55E+13,286390,0.3971
13-10-2006,629.7,635.1,692.9,635.1,681.95,668.73,2521133,1.69E+14,551806,0.2189
16-10-2006,681.95,688.25,718,688.25,710.45,703.95,1859460,1.31E+14,381001,0.2049
17-10-2006,710.45,714,717,700.25,704.5,707.01,826731,5.85E+13,156976,0.1899
18-10-2006,704.5,710,715,680,684.05,701.14,754796,5.29E+13,233795,0.3097
19-10-2006,684.05,700,792,700,772.7,769.35,4708913,3.62E+14,776684,0.1649
20-10-2006,772.7,779,900,776,863.35,834.91,5252845,4.39E+14,560625,0.1067
21-10-2006,863.35,900,976,900,956.4,956.17,2442711,2.34E+14,284411,0.1164
23-10-2006,956.4,956,988.95,881,898.15,906.52,4171924,3.78E+14,360259,0.0864
26-10-2006,898.15,900,926,892.35,918.65,912.9,2675072,2.44E+14,211604,0.0791
27-10-2006,918.65,921.3,1014,921.3,1000.95,975.42,4454173,4.34E+14,387954,0.0871
30-10-2006,1000.95,1010,1047.8,985,1006.55,1022.9,3142529,3.21E+14,501809,0.1597
31-10-2006,1006.55,1008,1025,956.6,989.7,991.6,2238040,2.22E+14,207364,0.0927
01-11-2006,989.7,1001,1024,982.6,1009.25,1008.13,1953788,1.97E+14,172903,0.0885
